idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%)
219,Natural,drip (alternative brewing methods),light,beans,Etiopia,87.2,100
220,Natural,drip (alternative brewing methods),light,beans,Etiopia,144.0,100
221,Carbonic Maceration,drip (alternative brewing methods),light,beans,Brazylia,46.4,100
222,Natural,drip (alternative brewing methods),light,beans,Brazylia,37.6,100
223,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100
224,Advanced,drip (alternative brewing methods),medium,beans,Indie,36.8,100
225,Washed,drip (alternative brewing methods),light,beans,Peru,43.2,100
226,Washed,drip (alternative brewing methods),light,beans,Rwanda,42.4,100
227,Natural,drip (alternative brewing methods),light,beans,Brazylia,57.5,100
228,Washed,drip (alternative brewing methods),light,beans,Kenia,60.0,100
229,Washed,drip (alternative brewing methods),light,beans,Honduras,52.8,100
230,Washed,drip (alternative brewing methods),light,beans,Kenia,55.2,100
231,Washed,drip (alternative brewing methods),light,beans,Kenia,63.2,100
232,Washed,drip (alternative brewing methods),light,beans,Peru,40.8,100
233,Washed,drip (alternative brewing methods),light,beans,Kenia,50.4,100
234,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100
235,Washed,drip (alternative brewing methods),light,beans,Mixed origin,27.0,100
236,Washed,drip (alternative brewing methods),light,beans,Kenia,46.4,100
237,Washed,drip (alternative brewing methods),light,beans,Rwanda,43.2,100
238,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.72,100
239,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.72,100
240,Red Honey,drip (alternative brewing methods),light,beans,Indie,35.84,100
241,Washed,drip (alternative brewing methods),light,beans,Rwanda,31.36,100
242,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100
243,Natural,drip (alternative brewing methods),light,beans,Nikaragua,43.2,100
244,Washed,drip (alternative brewing methods),light,beans,Rwanda,48.0,100
245,Washed,drip (alternative brewing methods),light,beans,Gwatemala,33.0,100
246,Washed,drip (alternative brewing methods),light,beans,Kolumbia,51.2,100
247,Natural,drip (alternative brewing methods),light,beans,Nikaragua,34.56,100
248,Natural,drip (alternative brewing methods),light,ground,Honduras,57.27,100
249,Natural,drip (alternative brewing methods),light,beans,Rwanda,52.8,100
250,Washed,drip (alternative brewing methods),light,beans,Rwanda,45.6,100
251,Anaerobic,drip (alternative brewing methods),light,beans,Brazylia,48.0,100
252,Washed,drip (alternative brewing methods),light,beans,Honduras,38.4,100
253,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100
254,Washed,drip (alternative brewing methods),light,beans,Kenia,41.6,100
255,Washed,drip (alternative brewing methods),light,beans,Kenia,45.6,100
256,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100
257,Washed,drip (alternative brewing methods),light,beans,Peru,35.2,100
258,Natural,drip (alternative brewing methods),light,beans,Kolumbia,33.28,100
259,Washed,drip (alternative brewing methods),light,beans,Mixed origin,28.8,100
260,Natural,drip (alternative brewing methods),light,beans,Kolumbia,45.0,100
261,Washed,drip (alternative brewing methods),light,beans,Kolumbia,42.0,100
262,Honey,drip (alternative brewing methods),light,beans,Salwador,45.0,100
263,Washed,drip (alternative brewing methods),light,beans,Rwanda,43.0,100
264,Natural,drip (alternative brewing methods),light,beans,Indonezja,31.5,100
265,Natural,drip (alternative brewing methods),light,beans,Brazylia,39.2,100
266,Natural,drip (alternative brewing methods),light,beans,Chiny,47.2,100
267,Washed,drip (alternative brewing methods),light,beans,Etiopia,49.6,100
268,Honey,drip (alternative brewing methods),light,beans,Burundi,39.2,100
269,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.8,100
270,Washed,drip (alternative brewing methods),light,beans,Kenia,41.6,100
271,Anaerobic,drip (alternative brewing methods),light,beans,Rwanda,40.8,100
272,Natural,drip (alternative brewing methods),light,beans,Etiopia,40.0,100
273,Washed,drip (alternative brewing methods),light,beans,Indie,27.2,0
274,Washed,drip (alternative brewing methods),light,beans,Kostaryka,27.6,100
275,Natural,drip (alternative brewing methods),light,beans,Meksyk,27.6,100
276,Washed,drip (alternative brewing methods),light,beans,Nikaragua,36.8,100
277,Natural,drip (alternative brewing methods),light,beans,Brazylia,28.8,100
278,Washed,drip (alternative brewing methods),light,beans,Etiopia,28.0,100
279,Washed,drip (alternative brewing methods),light,beans,Gwatemala,28.0,100
280,Natural,drip (alternative brewing methods),light,beans,Etiopia,47.2,100
281,Washed,drip (alternative brewing methods),light,beans,Kenia,46.4,100
282,Natural,drip (alternative brewing methods),light,beans,Peru,47.2,100
283,Washed,drip (alternative brewing methods),light,beans,Peru,45.6,100
284,Washed,drip (alternative brewing methods),light,beans,Rwanda,45.6,100
285,Natural,drip (alternative brewing methods),light,beans,Peru,35.4,100
286,Washed,drip (alternative brewing methods),light,beans,Peru,34.2,100
287,Washed,drip (alternative brewing methods),light,beans,Rwanda,34.2,100
288,Natural,drip (alternative brewing methods),light,beans,Salwador,32.0,100
289,Red Honey,drip (alternative brewing methods),light,beans,Salwador,31.2,100
290,Honey,drip (alternative brewing methods),light,beans,Salwador,34.4,100
291,Natural,drip (alternative brewing methods),light,beans,Etiopia,31.2,100
292,Washed,drip (alternative brewing methods),light,beans,Gwatemala,49.6,100
293,Washed,drip (alternative brewing methods),light,beans,Meksyk,25.6,100
294,Natural,drip (alternative brewing methods),light,beans,Mjanma,33.6,100
295,Natural,drip (alternative brewing methods),light,beans,Kostaryka,26.4,100
296,Honey,drip (alternative brewing methods),light,beans,Salwador,25.8,100
297,Natural,drip (alternative brewing methods),light,beans,Gwatemala,23.4,100
298,Honey,drip (alternative brewing methods),light,beans,Honduras,25.2,100
299,Natural,drip (alternative brewing methods),light,beans,Rwanda,39.33,100
300,Natural,drip (alternative brewing methods),light,beans,Kolumbia,60.0,100
301,Natural,drip (alternative brewing methods),light,beans,Kolumbia,39.0,100
302,Natural,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100
303,Washed,drip (alternative brewing methods),light,beans,Rwanda,33.0,100
304,Natural,drip (alternative brewing methods),light,beans,Etiopia,56.0,100
305,Washed,drip (alternative brewing methods),light,beans,Kenia,65.6,100
306,Natural,drip (alternative brewing methods),light,beans,Salwador,53.6,100
307,Natural,drip (alternative brewing methods),light,beans,Etiopia,46.4,100
308,Washed,drip (alternative brewing methods),light,beans,Kolumbia,37.12,100
309,Natural,drip (alternative brewing methods),light,beans,Salwador,37.52,100
310,Honey,drip (alternative brewing methods),light,beans,Brazylia,33.6,100
311,Washed,drip (alternative brewing methods),light,beans,Demokratyczna Republika Konga,37.6,100
312,Red Honey,drip (alternative brewing methods),light,beans,Etiopia,37.6,100
313,Natural,drip (alternative brewing methods),light,beans,Etiopia,40.8,100
314,Washed,drip (alternative brewing methods),light,beans,Kolumbia,40.0,100
315,Natural,drip (alternative brewing methods),light,beans,Papua Nowa Gwinea,36.0,100
