idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
94,10.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40.8
95,10.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,42.4
96,13.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,53.6
97,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,40
98,11,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,44
99,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,44
100,11.6,250 g,Yellow Bourbon,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,46.4
101,14,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,56
102,31.8,1 kg,,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, Kenia",1000,31.8
103,12.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,51.2
104,9.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,39.2
105,11.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,46.4
106,9.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,38.4
107,10,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40
108,10,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40
109,11,250 g,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,44
110,11.8,250 g,Yeast Process,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,47.2
111,12,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,48
112,12.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,51.2
113,12.8,250 g,Yellow Honey,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,51.2
114,12.8,250 g,Washed Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,51.2
115,13.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,54.4
116,13.6,250 g,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,54.4
117,13.6,250 g,Yellow Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,54.4
118,14,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,56
119,12,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,250,48
120,12,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,48
121,10,250 g,,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,40
122,21,1 kg,,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, inne",1000,21
123,5.8,250 g,,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, inne",250,23.2
124,29,1 kg,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,1000,29
125,8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,32
126,15.4,500 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,500,30.8
127,30,1 kg,,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,1000,30
128,8.2,250 g,,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,32.8
129,15.8,500 g,,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,500,31.6
130,5,250 g,,drip (alternative brewing methods),light,ground,100% Arabica,,250,20
131,9.52,250 g,Yellow Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,38.08
132,10.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,41.6
133,8.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,33.6
134,8.4,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,250,33.6
135,15.8,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,63.2
136,15.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,62.4
137,15,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,60
138,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,44
139,5.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,23.2
140,9.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,39.2
141,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,44
142,11,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,44
143,15.8,200 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,200,79
144,11,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,44
145,13.8,250 g,Anaerobic natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,55.2
146,11,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Uganda,250,44
147,8.03,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Uganda,250,32.12
148,11.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,45.6
149,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,44
150,12,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,48
151,11.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,44.8
152,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,40
153,15,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,60
154,10,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,40
155,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,40
