idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew,Washed,Natural,Fermented/macerated (traditional),Fermented/macerated (closed tank),process_general,region of origin
79,Pulped natural,drip (alternative brewing methods),light,beans,Brazylia,24,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,FALSE,FALSE,Hybrid,Latam
80,Washed,drip (alternative brewing methods),light,beans,Burundi,33.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
81,Natural,drip (alternative brewing methods),light,beans,Kostaryka,35.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
82,Washed,drip (alternative brewing methods),light,beans,Gwatemala,24,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
83,Natural,drip (alternative brewing methods),light,beans,Gwatemala,57.6,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
84,Natural,drip (alternative brewing methods),light,beans,Gwatemala,31.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
85,Honey,drip (alternative brewing methods),light,beans,Honduras,33.6,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
86,Washed,drip (alternative brewing methods),light,beans,Indonezja,34.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Asia
87,Washed,drip (alternative brewing methods),light,beans,Peru,32,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
88,Washed,drip (alternative brewing methods),light,beans,Etiopia,43.33,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
89,Washed,drip (alternative brewing methods),light,beans,Peru,34.67,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
90,Macerated Natural,drip (alternative brewing methods),light,beans,Peru,46.67,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,TRUE,FALSE,Fermented,Latam
91,Natural,drip (alternative brewing methods),light,beans,Peru,44.67,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
92,Washed,drip (alternative brewing methods),light,beans,Rwanda,39.33,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
93,Natural,drip (alternative brewing methods),light,beans,Brazylia,27.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
94,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
95,Washed,drip (alternative brewing methods),light,beans,Gwatemala,42.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
96,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
97,Washed,drip (alternative brewing methods),light,beans,Kolumbia,40,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
98,Natural,drip (alternative brewing methods),light,beans,Rwanda,44,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
99,Washed,drip (alternative brewing methods),light,beans,Rwanda,44,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
100,Yellow Bourbon,drip (alternative brewing methods),light,beans,Brazylia,46.4,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Fermented,Latam
101,Natural,drip (alternative brewing methods),light,beans,Salwador,56,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
102,Natural,drip (alternative brewing methods),light,beans,"Brazylia, Kenia",31.8,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Mixed
103,Washed,drip (alternative brewing methods),light,beans,Kenia,51.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
104,Natural,drip (alternative brewing methods),light,beans,Brazylia,39.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
105,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
