,process,brewing_method,roast,grind,origin,price_per_kg,percentage_of_arabica,pure_arabica,roast_brew,Washed,Natural,Fermented_traditional,Fermented_closedtank,process_general,region_of_origin
72,Honey,drip (alternative brewing methods),light,beans,Kostaryka,44.0,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
73,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
74,Natural,drip (alternative brewing methods),light,beans,Rwanda,56.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
75,Honey,drip (alternative brewing methods),light,beans,Brazylia,24.0,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
76,Pulped natural,drip (alternative brewing methods),light,beans,Brazylia,24.0,100,True,light_drip (alternative brewing methods),True,True,False,False,Hybrid,Latam
77,Washed,drip (alternative brewing methods),light,beans,Burundi,33.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
78,Natural,drip (alternative brewing methods),light,beans,Kostaryka,35.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
79,Washed,drip (alternative brewing methods),light,beans,Gwatemala,24.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
80,Natural,drip (alternative brewing methods),light,beans,Gwatemala,57.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
81,Natural,drip (alternative brewing methods),light,beans,Gwatemala,31.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
82,Honey,drip (alternative brewing methods),light,beans,Honduras,33.6,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
83,Washed,drip (alternative brewing methods),light,beans,Indonezja,34.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Asia
84,Washed,drip (alternative brewing methods),light,beans,Peru,32.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
85,Washed,drip (alternative brewing methods),light,beans,Etiopia,43.33,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
86,Washed,drip (alternative brewing methods),light,beans,Peru,34.67,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
87,Macerated Natural,drip (alternative brewing methods),light,beans,Peru,46.67,100,True,light_drip (alternative brewing methods),False,True,True,False,Fermented,Latam
88,Natural,drip (alternative brewing methods),light,beans,Peru,44.67,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
89,Washed,drip (alternative brewing methods),light,beans,Rwanda,39.33,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
90,Natural,drip (alternative brewing methods),light,beans,Brazylia,27.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
91,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
92,Washed,drip (alternative brewing methods),light,beans,Gwatemala,42.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
93,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
94,Washed,drip (alternative brewing methods),light,beans,Kolumbia,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
95,Natural,drip (alternative brewing methods),light,beans,Rwanda,44.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
96,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
97,Yellow Bourbon,drip (alternative brewing methods),light,beans,Brazylia,46.4,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Latam
98,Natural,drip (alternative brewing methods),light,beans,Salwador,56.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
99,Natural,drip (alternative brewing methods),light,beans,"Brazylia, Kenia",31.8,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Mixed
100,Washed,drip (alternative brewing methods),light,beans,Kenia,51.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
101,Natural,drip (alternative brewing methods),light,beans,Brazylia,39.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
102,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
103,Washed,drip (alternative brewing methods),light,beans,Brazylia,38.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
104,Natural,drip (alternative brewing methods),light,beans,Rwanda,40.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
105,Natural,drip (alternative brewing methods),light,beans,Rwanda,40.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
106,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,Brazylia,44.0,100,True,light_drip (alternative brewing methods),False,False,True,False,Fermented,Latam
107,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,47.2,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
108,Washed,drip (alternative brewing methods),light,beans,Etiopia,48.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
109,Natural,drip (alternative brewing methods),light,beans,Etiopia,51.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
110,Honey,drip (alternative brewing methods),light,beans,Etiopia,51.2,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Africa
111,Washed Anaerobic,drip (alternative brewing methods),light,beans,Honduras,51.2,100,True,light_drip (alternative brewing methods),True,False,False,True,Fermented,Latam
112,Washed,drip (alternative brewing methods),light,beans,Honduras,54.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
113,Carbonic Maceration,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
114,Honey,drip (alternative brewing methods),light,beans,Kostaryka,54.4,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
115,Honey,drip (alternative brewing methods),light,beans,Kostaryka,56.0,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
116,Natural,drip (alternative brewing methods),light,beans,Meksyk,48.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
117,Washed,drip (alternative brewing methods),light,beans,Peru,48.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
118,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,Peru,40.0,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Latam
119,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,"Brazylia, inne",21.0,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Mixed
120,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,"Brazylia, inne",23.2,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Mixed
121,Washed,drip (alternative brewing methods),light,beans,Etiopia,29.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
122,Washed,drip (alternative brewing methods),light,beans,Etiopia,32.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
123,Washed,drip (alternative brewing methods),light,beans,Etiopia,30.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
124,Semi-washed,drip (alternative brewing methods),light,beans,Rwanda,30.0,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Africa
125,Semi-washed,drip (alternative brewing methods),light,beans,Rwanda,32.8,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Africa
126,Semi-washed,drip (alternative brewing methods),light,beans,Rwanda,31.6,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Africa
127,Semi-washed,drip (alternative brewing methods),light,ground,"Honduras, Kolumbia, Peru",20.0,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Latam
128,Honey,drip (alternative brewing methods),light,beans,Kostaryka,38.08,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
129,Washed,drip (alternative brewing methods),light,beans,Gwatemala,41.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
130,Washed,drip (alternative brewing methods),light,beans,Honduras,33.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
131,Honey,drip (alternative brewing methods),light,beans,Meksyk,33.6,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
132,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,63.2,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
133,Washed,drip (alternative brewing methods),light,beans,Etiopia,62.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
134,Natural,drip (alternative brewing methods),light,beans,Etiopia,60.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
135,Washed,drip (alternative brewing methods),light,beans,Burundi,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
136,Washed,drip (alternative brewing methods),light,beans,Gwatemala,23.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
137,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
138,Washed,drip (alternative brewing methods),light,beans,Kenia,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
139,Natural,drip (alternative brewing methods),light,beans,Kostaryka,44.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
140,Honey,drip (alternative brewing methods),light,beans,Kostaryka,79.0,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
141,Natural,drip (alternative brewing methods),light,beans,Nikaragua,44.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
142,Anaerobic natural,drip (alternative brewing methods),light,beans,Salwador,55.2,100,True,light_drip (alternative brewing methods),False,True,False,True,Fermented,Latam
143,Natural,drip (alternative brewing methods),light,beans,Uganda,44.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
144,Natural,drip (alternative brewing methods),light,beans,Uganda,32.12,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
145,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
146,Washed,drip (alternative brewing methods),light,beans,Burundi,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
147,Natural,drip (alternative brewing methods),light,beans,Burundi,48.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
148,Washed,drip (alternative brewing methods),light,beans,Etiopia,44.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
149,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
150,Natural,drip (alternative brewing methods),light,beans,Kolumbia,60.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
151,Natural,drip (alternative brewing methods),light,beans,Salwador,40.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
152,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
153,Washed,drip (alternative brewing methods),light,beans,Honduras,42.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
154,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
155,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
156,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
157,Washed,drip (alternative brewing methods),light,beans,Kolumbia,47.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
158,Washed,drip (alternative brewing methods),light,beans,Etiopia,38.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
159,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,78.4,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
160,Rum Aged,drip (alternative brewing methods),light,beans,Kolumbia,69.3,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Latam
161,Macerated Natural,drip (alternative brewing methods),light,beans,Honduras,52.8,100,True,light_drip (alternative brewing methods),False,True,True,False,Fermented,Latam
162,Macerated Natural,drip (alternative brewing methods),light,beans,Honduras,52.8,100,True,light_drip (alternative brewing methods),False,True,True,False,Fermented,Latam
163,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,88.0,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
164,Washed,drip (alternative brewing methods),light,beans,Boliwia,58.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
