idx,process,brewing method,roast,grind,arabica_robusta,origin,price_per_kg
711,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",13.6
712,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Brazylia,15
713,Semi-Washed Kombucha Experiment,espresso,dark,beans,70/30,Brazylia,13.98
714,Washed,espresso,dark,beans,100% Arabica,Kolumbia,15
715,Natural,espresso,dark,beans,100% Arabica,Nikaragua,14.6
716,Natural,espresso,dark,beans,100% Arabica,Salwador,40.4
717,Natural,espresso,dark,beans,100% Arabica,Etiopia,38
718,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Etiopia,31.8
719,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Etiopia,39.2
720,Washed,espresso,dark,beans,100% Arabica,Kolumbia,37.6
721,Washed,espresso,dark,beans,100% Arabica,Kolumbia,36
722,Washed,espresso,dark,beans,100% Arabica,Peru,28.8
723,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",19.92
724,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",21.8
725,Natural,espresso,medium,beans,100% Arabica,Brazylia,24
726,Washed,espresso,medium,beans,100% Arabica,Kolumbia,24
727,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",21
728,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",27
729,Natural,espresso,medium,beans,80/20,Kenia,14.98
730,Washed,espresso,medium,beans,100% Arabica,"Etiopia, Kolumbia",38.4
731,Natural,espresso,medium,beans,100% Arabica,Etiopia,56
732,Natural,espresso,medium,beans,100% Arabica,Etiopia,47.6
733,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Kolumbia",30
734,Washed,espresso,medium,beans,100% Arabica,Kolumbia,35.2
735,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Peru, Wietnam",24.8
736,Pulped natural,espresso,dark,beans,100% Arabica,Brazylia,37.6
737,Washed,espresso,medium,beans,100% Arabica,Gwatemala,25.2
738,Washed,espresso,medium,beans,100% Arabica,Kolumbia,51.2
739,Natural,espresso,medium,beans,100% Arabica,Brazylia,23.2
740,Washed,espresso,medium,beans,100% Arabica,Kolumbia,23.2
741,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",135.2
742,Natural,espresso,dark,beans,70/30,"Honduras, Kolumbia, Peru",11.98
743,Natural,espresso,dark,beans,60/40,Panama,14.4
744,Semi-Washed Kombucha Experiment,espresso,dark,ground,30/70,Etiopia,13.6
745,Rum Aged,espresso,dark,ground,70/30,Laos,23.2
746,Natural,espresso,dark,beans,70/30,"Honduras, Kolumbia, Peru",19
747,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",25.6
748,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",21.8
749,Natural,espresso,medium,beans,90/10,Kenia,15.98
750,Washed,espresso,medium,beans,100% Arabica,"Peru, Etiopia",31.6
751,Natural,espresso,medium,beans,85/15,Kenia,29.6
752,Washed,espresso,dark,beans,100% Arabica,Brazylia,23.92
753,Washed,espresso,medium,beans,100% Arabica,Gwatemala,44
754,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",19.5
755,Washed,espresso,medium,beans,100% Arabica,Peru,30
756,Natural,espresso,medium,beans,60/40,Kenia,15.96
757,Natural,espresso,medium,beans,80/20,Kenia,19.96
758,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",29.8
759,Semi-Carbonic Maceration,espresso,medium,ground,100% Arabica,"Brazylia, Kolumbia",15.92
760,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",37.6
761,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala, Kostaryka",37.6
762,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",25.2
763,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",25.6
764,Washed,espresso,medium,beans,100% Arabica,"Etiopia, Kolumbia",16
765,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,19.62
766,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,19.2
767,Washed,espresso,medium,beans,100% Arabica,Kolumbia,14.25
768,Natural,espresso,medium,beans,100% Arabica,Etiopia,12.46
769,Natural,espresso,medium,beans,100% Arabica,Etiopia,17
770,Washed,espresso,medium,beans,100% Arabica,Etiopia,19.6
771,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",16.8
772,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",21
773,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia, Kolumbia",15.2
774,Natural,espresso,medium,beans,100% Arabica,Brazylia,19.8
775,Natural,espresso,medium,beans,100% Arabica,Brazylia,23.2
776,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala, Etiopia",16.66
777,Natural,espresso,medium,beans,100% Arabica,Brazylia,20.64
778,Natural,espresso,dark,beans,84/16,Panama,27.6
779,Pulped natural,espresso,dark,ground,95/5,"Kenia, Indie",17.6
780,Pulped natural,espresso,dark,ground,95/5,"Kenia, Indie",15.2
781,Rum Aged,espresso,dark,ground,70/30,Laos,17.6
782,Rum Aged,espresso,dark,ground,80/20,"Brazylia, Indie",15.12
783,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,15
784,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",14.32
785,Natural,espresso,dark,beans,40/60,Panama,11
786,Natural,espresso,medium,beans,30/70,Kenia,11
787,Pulped natural,espresso,medium,beans,50/50,"Etiopia, Brazylia",15
788,Natural,espresso,dark,beans,70/30,"Honduras, Kolumbia, Peru",12.98
789,Semi-Washed Kombucha Experiment,espresso,dark,ground,100% Robusta,"Etiopia, Gwatemala",9.8
790,Semi-washed,espresso,dark,beans,100% Arabica,"Honduras, Kolumbia, Peru",9.8
791,Washed,espresso,dark,beans,100% Arabica,Brazylia,23.92
792,Natural,espresso,dark,beans,100% Arabica,Etiopia,39.2
793,Washed,espresso,dark,beans,100% Arabica,"Etiopia, Gwatemala",23.92
794,Washed,espresso,dark,beans,75/25,"Salwador, Indie",23.92
795,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",17.98
796,Natural,espresso,dark,beans,40/60,Panama,13.98
797,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",21
798,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",24.32
799,Natural,espresso,medium,beans,80/20,Kenia,21.8
800,Pulped natural,espresso,dark,ground,90/10,"Kenia, Indie",14.32
801,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",33.8
802,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.66
803,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Honduras",20.8
804,Natural,espresso,medium,beans,100% Arabica,Brazylia,20.8
805,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",71.88
806,Natural,espresso,dark,beans,60/40,Panama,74.29
807,Experimental,espresso,medium,beans,100% Arabica,Uganda,29.6
808,Washed,espresso,dark,ground,30/70,"Brazylia, Peru, Wietnam",16.8
809,Washed,espresso,dark,ground,30/70,"Brazylia, Peru, Wietnam",16.8
810,Natural,espresso,medium,beans,100% Arabica,Brazylia,20
811,Rum Aged,espresso,dark,ground,80/20,"Brazylia, Indie",24
812,Natural,espresso,medium,beans,100% Arabica,Brazylia,32.8
813,Natural,espresso,medium,beans,100% Arabica,Brazylia,24.6
814,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",28
815,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala",22.2
816,Washed,espresso,medium,beans,100% Arabica,"Peru, Gwatemala",20.16
817,Natural,espresso,medium,beans,100% Arabica,Burundi,35.2
818,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Kostaryka, Nikaragua",42.4
819,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",14.76
820,Natural,espresso,dark,beans,60/40,Panama,11.58
821,Washed,espresso,dark,beans,100% Arabica,"Honduras, Kolumbia, Peru",13.98
822,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",28
823,Washed,espresso,dark,ground,100% Arabica,Brazylia,28.8
824,Semi-Washed Kombucha Experiment,espresso,dark,beans,78/22,"Brazylia, Indie",24.8
825,Pulped natural,espresso,dark,ground,85/15,Honduras,27.2
826,Washed,espresso,dark,ground,100% Arabica,Brazylia,28.8
827,Washed,espresso,dark,beans,100% Arabica,Brazylia,26.8
828,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Indie",23.8
829,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Indie",28
830,Washed,espresso,dark,ground,100% Arabica,Peru,30.4
831,Washed,espresso,dark,beans,75/25,"Salwador, Indie",24.8
832,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Brazylia,28
833,Washed,espresso,medium,beans,100% Arabica,Burundi,46.4
834,Washed,espresso,medium,beans,100% Arabica,Kolumbia,45.6
835,Anaerobic,espresso,medium,beans,100% Arabica,Kolumbia,49.6
836,Natural,espresso,medium,beans,100% Arabica,Brazylia,18
837,Pulped natural,espresso,dark,ground,55/45,Indonezja,15.2
838,Honey,espresso,medium,beans,100% Robusta,Laos,34.4
839,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Kolumbia",32
840,Washed,espresso,medium,beans,100% Arabica,Kolumbia,36
841,Washed,espresso,medium,beans,100% Arabica,Kolumbia,25.2
842,Natural,espresso,medium,beans,100% Arabica,Etiopia,39.2
843,Natural,espresso,medium,beans,100% Arabica,Brazylia,29.6
844,Washed,espresso,medium,beans,100% Arabica,Papua Nowa Gwinea,41.6
845,Washed,espresso,medium,beans,100% Arabica,Gwatemala,33.6
846,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Honduras",18
847,Natural,espresso,medium,beans,100% Arabica,Brazylia,18
848,Washed,espresso,medium,beans,100% Arabica,Kolumbia,46.4
849,Washed,espresso,medium,beans,100% Arabica,Meksyk,50.4
850,Natural,espresso,dark,beans,90/10,Panama,22.4
851,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",23.92
852,Natural,espresso,medium,beans,80/20,Kenia,20.72
853,Natural,espresso,medium,beans,80/20,Kenia,19.98
854,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",20.72
855,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",15.92
856,Rum Aged,"drip, espresso",light,beans,100% Robusta,Gwatemala,18.17
857,Rum Aged,"drip, espresso",light,beans,100% Robusta,Gwatemala,16.5
858,Rum Aged,"drip, espresso",light,beans,100% Robusta,Gwatemala,18.17
859,Honey + Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,45.6
860,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",23.92
861,Natural,espresso,light,beans,30/70,Panama,39
862,Rum Aged,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,73.33
863,Natural,espresso,light,beans,30/70,Panama,50
864,Pulped natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,36
865,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,25
866,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,29.6
