idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
130,Red Honey,drip (alternative brewing methods),light,ground,Indonezja,20.0,100,True,light_drip (alternative brewing methods)
131,Yellow Honey,drip (alternative brewing methods),light,beans,Kostaryka,38.08,100,True,light_drip (alternative brewing methods)
132,Washed,drip (alternative brewing methods),light,beans,Gwatemala,41.6,100,True,light_drip (alternative brewing methods)
133,Washed,drip (alternative brewing methods),light,beans,Honduras,33.6,100,True,light_drip (alternative brewing methods)
134,Honey,drip (alternative brewing methods),light,beans,Meksyk,33.6,100,True,light_drip (alternative brewing methods)
135,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,63.2,100,True,light_drip (alternative brewing methods)
136,Washed,drip (alternative brewing methods),light,beans,Etiopia,62.4,100,True,light_drip (alternative brewing methods)
137,Natural,drip (alternative brewing methods),light,beans,Etiopia,60.0,100,True,light_drip (alternative brewing methods)
138,Washed,drip (alternative brewing methods),light,beans,Burundi,44.0,100,True,light_drip (alternative brewing methods)
139,Washed,drip (alternative brewing methods),light,beans,Gwatemala,23.2,100,True,light_drip (alternative brewing methods)
140,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods)
141,Washed,drip (alternative brewing methods),light,beans,Kenia,44.0,100,True,light_drip (alternative brewing methods)
142,Natural,drip (alternative brewing methods),light,beans,Kostaryka,44.0,100,True,light_drip (alternative brewing methods)
143,Honey,drip (alternative brewing methods),light,beans,Kostaryka,79.0,100,True,light_drip (alternative brewing methods)
144,Natural,drip (alternative brewing methods),light,beans,Nikaragua,44.0,100,True,light_drip (alternative brewing methods)
145,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,55.2,100,True,light_drip (alternative brewing methods)
146,Natural,drip (alternative brewing methods),light,beans,Uganda,44.0,100,True,light_drip (alternative brewing methods)
147,Natural,drip (alternative brewing methods),light,beans,Uganda,32.12,100,True,light_drip (alternative brewing methods)
148,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.6,100,True,light_drip (alternative brewing methods)
149,Washed,drip (alternative brewing methods),light,beans,Burundi,44.0,100,True,light_drip (alternative brewing methods)
